,formula_pretty,band_gap
741,BaBPO5,5.503299999999999
742,BaBPO5,5.495
743,BaBe2(BO3)2,5.3821
744,BaBe2(BO3)2,5.3488999999999995
745,BaBe2(PO4)2,5.1229
746,BaBe2Si2O7,5.2992
747,BaBe2Si2O7,5.6238
748,BaBeF4,7.7003
749,BaBePO4F,6.2166
750,BaBeSiO4,4.4231
751,BaBr2,4.3731
752,BaBrCl,4.4843
753,BaBrCl,4.9392
754,BaBrCl,4.9288
755,BaBrF,4.8824
756,BaC2(NO)2,4.5717
757,BaC2S2(OF)6,6.1552999999999995
758,BaC4(O2F3)2,4.7469
759,BaCO3,4.1409
760,BaCO3,4.4437
761,BaCO3,4.1754
762,BaCO3,4.354299999999999
763,BaCO3,4.3635
764,BaCO3,4.397399999999999
765,BaCO3,4.1594999999999995
766,BaCO3,4.0966000000000005
767,BaCO3,4.0287
768,BaCO3,4.474
769,BaCSNCl,4.1666
770,BaCa(CO3)2,4.126200000000001
771,BaCa(CO3)2,4.7863999999999995
772,BaCa(CO3)2,4.703
773,BaCa(PO3)4,5.7468
774,BaCa2(PN2)6,4.0725999999999996
775,BaCa2(SiO3)3,4.5847
776,BaCa2C2(O3F)2,4.7463999999999995
777,BaCa2Mg(SiO4)2,4.9948
778,BaCa2Mg(SiO4)2,4.6943
779,BaCa3Zr16(PO4)24,4.178100000000001
780,BaCaAlF7,6.7993999999999994
781,BaCaB2O5,4.4673
782,BaCaBiF7,4.8837
783,BaCaCrF7,4.0416
784,BaCaGaF7,6.3083
785,BaCaLu2F10,6.8685
786,BaCaMg30O32,4.0061
787,BaCaMoF7,4.6469
788,BaCaP2(HO4)2,5.327
789,BaCaP2O7,5.3187
790,BaCaSbF7,4.388999999999999
791,BaCaSiO4,4.3673
792,BaCaZr8(PO4)12,4.215
793,BaCd(PO3)4,4.400399999999999
794,BaCdGaF7,4.4668
795,BaCl2,5.1132
796,BaCl2,4.5724
